2019 December 28,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Station,P,Polarity,P arrival,S,S arrival,Amplitude,    Time Duration,Type,Freq,,,,,,,,,,
BIP,eP,c,015321.50,eS,015347.83,,121.00,L,,,,,,,,,,,
BIP,eP,d,020023.06,eS,020102.87,11546,185.00,L,,,,,,,,,,,
BIP,eP,c,023102.35,eS,023120.17,1732,94.00,L,,,,,,,,,,,
BIP,eP,d,023314.24,eS,023332.31,,99.00,L,,,,,,,,,,,
BIP,iP,d,032734.59,eS,032800.64,2387,129.00,L,,,,,,,,,,,
BIP,iP,d,041209.94,eS,041217.32,,41.00,L,,,,,,,,,,,
BIP,eP,d,041528.60,eS,041539.78,,54.00,L,,,,,,,,,,,
BIP,eP,d,050647.54,eS,050717.27,,79.00,L,,,,,,,,,,,
BIP,eP,d,050807.96,iS,050813.30,,25.00,L,,,,,,,,,,,
BIP,eP,d,072701.82,,,,,T,,,,,,,,,,,
BIP,iP,c,080818.29,iS,080841.88,,114.00,L,,,,,,,,,,,
BIP,eP,d,083853.89,eS,083936.13,8493,232.00,L,,,,,,,,,,,
BIP,iP,d,090209.55,eS,090213.86,2438,46.00,L,,,,,,,,,,,
BIP,eP,d,111153.38,,,,,T,,,,,,,,,,,
BIP,eP,d,131037.87,eS,131101.41,816,92.00,L,,,,,,,,,,,
BIP,eP,d,131549.46,eS,131612.42,,103.00,L,,,,,,,,,,,
BIP,eP,c,182726.62,eS,182818.99,1819,241.00,L,,,,,,,,,,,
BIP,eP,c,184206.14,eS,184228.75,,90.00,L,,,,,,,,,,,
BIP,eP,c,194429.20,eS,194454.83,875,84.00,L,,,,,,,,,,,
BIP,iP,d,203709.23,eS,203733.96,872,114.00,L,,,,,,,,,,,
BIP,eP,c,212901.16,eS,212924.85,,159.00,L,,,,,,,,,,,
BIP,iP,d,222505.21,eS,222513.20,,49.00,L,,,,,,,,,,,
BIP,eP,d,224212.93,eS,224241.40,,94.00,L,,,,,,,,,,,
BIP,iP,c,230741.84,eS,230749.88,6306,92.00,L,,,,,,,,,,,
BIP,eP,d,233453.04,eS,233518.38,827,86.00,L,,,,,,,,,,,
SIP,iP,c,134342.71,iS,134348.07,6335,62,L,,,,,,,,,,,
SIP,iP,d,170527.88,iS,170536.09,1605,61,L,,,,,,,,,,,
SIP,eP,c,191219.87,eS,191231.14,1041,116,L,,,,,,,,,,,
SIP,iP,d,212448.41,iS,212459.79,920,74,L,,,,,,,,,,,
SIP,iP,c,134342.71,iS,134348.07,6335,62,L,,,,,,,,,,,
SIP,iP,d,170527.88,iS,170536.09,1605,61,L,,,,,,,,,,,
SIP,eP,c,191219.87,eS,191231.14,1041,116,L,,,,,,,,,,,
SIP,iP,d,212448.41,iS,212459.79,920,74,L,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Remarks:,,,,,Station,Observer,Time,,,,,,,,,,,,
PPR,No quake recorded,,,,LLP,RFJ,0000,,,,,,,,,,,,
IAP,No operation,,,,MMP,RRDC,0002,,,,,,,,,,,,
RCP,No operation,,,,PPR,RS,0037,,,,,,,,,,,,
,,,,,PLP,NMC,0104,,,,,,,,,,,,
,,,,,TGY,ACC/MLV,0000,,,,,,,,,,,,
,,,,,PGP,NJA,0000,,,,,,,,,,,,
,,,,,LQP,MV,0031,,,,,,,,,,,,
,,,,,BIP,ES,0304,,,,,,,,,,,,
,,,,,CGP,ML,0004,,,,,,,,,,,,
,,,,,CTB,ICE,0034,,,,,,,,,,,,
,,,,,DCP,CBT,0143,,,,,,,,,,,,
,,,,,DMP,STC/TES,0100,,,,,,,,,,,,
,,,,,GSP,NMD,2359,,,,,,,,,,,,
,,,,,KCP,MT/HD,0239,,,,,,,,,,,,
,,,,,SCP,AGM,0639,,,,,,,,,,,,
,,,,,ZCP,ARL,2308,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PGP,"No operation, PC def.",,,,,,,,,,,,,,,,,,
GSP,Biometrics defective since May 2019,,,,,,,,,,,,,,,,,,
KCP,Intermittent internet connection Defective Biometric clock,,,,,,,,,,,,,,,,,,
KCP,"APC 1000 UPS not working battery, need to be replaced",,,,,,,,,,,,,,,,,,
KCP,Datasaving is on the Atlas due to Centaur's problem on its internal memory.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
