13.32   122.05  MARINDUQUE FAULT
13.39   121.95  MARINDUQUE FAULT
13.46   121.90  MARINDUQUE FAULT
13.53   121.86  MARINDUQUE FAULT
13.32   122.05  MARINDUQUE FAULT
13.39   121.95  MARINDUQUE FAULT
13.46   121.90  MARINDUQUE FAULT
13.53   121.86  MARINDUQUE FAULT
06.14   125.02  MINDANAO FAULT
06.46   124.70  MINDANAO FAULT
06.84   124.46  MINDANAO FAULT
07.23   124.22  MINDANAO FAULT
07.50   124.03  MINDANAO FAULT
07.96   123.86  MINDANAO FAULT
10.51   121.95  NEG-MAN TRENCHES COLLISION ZONE
10.80   121.98  NEG-MAN TRENCHES COLLISION ZONE
11.11   121.95  NEG-MAN TRENCHES COLLISION ZONE
11.43   121.86  NEG-MAN TRENCHES COLLISION ZONE
11.79   121.69  NEG-MAN TRENCHES COLLISION ZONE
10.51   121.95  NEG-MAN TRENCHES COLLISION ZONE
10.80   121.98  NEG-MAN TRENCHES COLLISION ZONE
11.11   121.95  NEG-MAN TRENCHES COLLISION ZONE
11.43   121.86  NEG-MAN TRENCHES COLLISION ZONE
11.79   121.69  NEG-MAN TRENCHES COLLISION ZONE
12.10   121.45  NEG-MAN TRENCHES COLLISION ZONE
12.43   121.08  NEG-MAN TRENCHES COLLISION ZONE
12.58   120.89  NEG-MAN TRENCHES COLLISION ZONE
08.78   123.06  NEGROS TRENCH
08.85   122.68  NEGROS TRENCH
08.83   122.36  NEGROS TRENCH
08.82   122.12  NEGROS TRENCH
08.97   121.66  NEGROS TRENCH
08.78   123.06  NEGROS TRENCH
08.85   122.68  NEGROS TRENCH
08.83   122.36  NEGROS TRENCH
08.82   122.12  NEGROS TRENCH
08.97   121.66  NEGROS TRENCH
09.16   121.49  NEGROS TRENCH
09.36   121.45  NEGROS TRENCH
09.60   121.59  NEGROS TRENCH
09.96   121.81  NEGROS TRENCH
10.37   121.95  NEGROS TRENCH
10.37   121.95  NEGROS TRENCH
08.30   122.97  NIPAAN FAULT
08.25   123.04  NIPAAN FAULT
08.17   123.16  NIPAAN FAULT
08.13   123.26  NIPAAN FAULT
08.08   123.33  NIPAAN FAULT
08.03   123.42  NIPAAN FAULT
08.01   123.55  NIPAAN FAULT
07.97   123.62  NIPAAN FAULT
07.98   123.76  NIPAAN FAULT
08.01   123.88  NIPAAN FAULT
08.03   124.00  NIPAAN FAULT
08.08   124.13  NIPAAN FAULT
08.15   124.25  NIPAAN FAULT
08.17   124.30  NIPAAN FAULT
08.20   124.34  NIPAAN FAULT
08.25   124.41  NIPAAN FAULT
08.30   122.97  NIPAAN FAULT
08.25   123.04  NIPAAN FAULT
08.17   123.16  NIPAAN FAULT
08.13   123.26  NIPAAN FAULT
08.08   123.33  NIPAAN FAULT
08.03   123.42  NIPAAN FAULT
08.01   123.55  NIPAAN FAULT
08.03   124.00  NIPAAN FAULT
08.08   124.13  NIPAAN FAULT
08.15   124.25  NIPAAN FAULT
08.17   124.30  NIPAAN FAULT
08.20   124.34  NIPAAN FAULT
08.25   124.41  NIPAAN FAULT
17.95   119.73  NORTH LUZON TROUGH
18.07   119.78  NORTH LUZON TROUGH
18.25   119.92  NORTH LUZON TROUGH
18.32   120.00  NORTH LUZON TROUGH
18.40   120.09  NORTH LUZON TROUGH
18.49   120.19  NORTH LUZON TROUGH
18.63   120.33  NORTH LUZON TROUGH
18.72   120.48  NORTH LUZON TROUGH
18.82   120.57  NORTH LUZON TROUGH
18.91   120.67  NORTH LUZON TROUGH
19.03   120.79  NORTH LUZON TROUGH
19.17   120.94  NORTH LUZON TROUGH
19.31   121.03  NORTH LUZON TROUGH
19.43   121.13  NORTH LUZON TROUGH
19.55   121.20  NORTH LUZON TROUGH
19.66   121.25  NORTH LUZON TROUGH
19.85   121.28  NORTH LUZON TROUGH
19.99   121.25  NORTH LUZON TROUGH
20.15   121.23  NORTH LUZON TROUGH
20.29   121.16  NORTH LUZON TROUGH
20.41   121.13  NORTH LUZON TROUGH
20.60   121.08  NORTH LUZON TROUGH
20.69   121.11  NORTH LUZON TROUGH
20.81   121.13  NORTH LUZON TROUGH
